,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
9901,1142198889,Red Dwarf XI : The Game,171978752,USD,1.99,22,2,4.5,4.5,1.42,12+,Games,37,5,1,1
9911,1142348885,Phantasmat: Behind the Mask (Full),964245504,USD,6.99,62,62,4.5,4.5,1.0.0,9+,Games,37,5,5,1
9912,1142366464,Bob Mod,19609600,USD,1.99,9,9,2.0,2.0,2.0,4+,Games,38,3,1,1
9917,1142443107,パチスロ デビル メイ クライ クロス,3148132352,USD,11.99,0,0,0.0,0.0,1.0.0,12+,Games,40,0,1,0
9923,1142546565,Smart Baby Shapes FOOD: Fun Jigsaw Puzzles and Learning Games for toddlers & little kids,26571776,USD,2.99,3,3,4.5,4.5,1.0,4+,Games,38,5,7,1
9928,1142657936,Spoofr — GPS & Location Simulator,1210368,USD,1.99,2,2,1.0,1.0,1.0,4+,Games,37,5,1,1
9930,1142717730,Cadenza: Havana Nights (Full),969881600,USD,6.99,61,61,4.0,4.0,1.0.0,9+,Games,37,5,4,1
9968,1144154105,Slip Away Mystify,138277888,USD,2.99,29,0,4.0,0.0,1.1,4+,Games,37,5,1,1
10000,1145442827,Bus Simulator PRO 2017,546985984,USD,3.99,78,64,3.5,3.5,1.1,4+,Games,38,5,1,1
10003,1145485982,Vikings: an Archer's Journey,130727936,USD,2.99,94,32,4.5,4.5,1.3,9+,Games,37,5,11,1
10011,1145738671,Eggggg - The Platform Puker,366030848,USD,2.99,446,323,4.5,4.5,1.5.3,9+,Games,37,5,13,1
10014,1145823552,Concrete Jungle,256277504,USD,4.99,44,4,4.5,5.0,1.18,12+,Games,37,5,1,1
10017,1145877280,Defend Pizzeria Craft Shop,17582080,USD,1.99,11,11,1.0,1.0,1.1,4+,Games,38,3,1,1
10018,1145920150,Huetopia,10219520,USD,0.99,4,4,5.0,5.0,1.0.1,4+,Games,38,4,1,1
10021,1146138135,Zip—Zap,17095680,USD,1.99,3711,3307,5.0,5.0,2.02,4+,Games,40,3,10,1
10022,1146177222,Flud.,9238528,USD,0.99,15,15,3.5,3.5,1.1.2,4+,Games,38,4,11,1
10030,1146552070,Dog Sled Saga,79204352,USD,3.99,155,50,4.0,4.5,1.0.6,4+,Games,37,5,1,1
10036,1146713881,パチスロ ガールズ＆パンツァー,3975609344,USD,9.99,0,0,0.0,0.0,1.0.2,12+,Games,38,0,1,0
10054,1147297267,Don't Starve: Shipwrecked,633698304,USD,4.99,495,55,3.5,3.5,1.5,9+,Games,25,5,1,1
10055,1147331964,"Invisible, Inc.",536311808,USD,4.99,86,20,4.5,4.5,1.1,12+,Games,16,5,1,1
10083,1148047801,Siralim 2 (RPG / Roguelike),150971392,USD,4.99,44,0,4.0,0.0,2.4.1,12+,Games,37,5,1,1
10086,1148119410,Lifeline: Flatline,147597312,USD,1.99,207,161,4.5,4.5,1.0.2,9+,Games,37,4,6,1
10087,1148138918,Secrets of the Dark: The Flower of Shadow (Full),903281664,USD,6.99,32,32,3.5,3.5,1.0.0,9+,Games,24,5,3,1
10092,1148321705,Bully: Anniversary Edition,2413393920,USD,6.99,1334,305,4.5,4.5,1.04,12+,Games,37,5,7,1
10093,1148362520,Hide it Hillary!,23513088,USD,0.99,23,5,5.0,5.0,1.5.0,9+,Games,40,0,1,1
10096,1148435076,Roofbot: Puzzler On The Roof,156247040,USD,2.99,625,589,4.5,4.5,1.1.1,4+,Games,37,5,11,1
10097,1148435080,Parallyzed: Surreal Platform Runner,235838464,USD,2.99,38,16,4.5,4.5,1.1.1,9+,Games,37,5,10,1
10126,1149338810,FunBridge Quiz 3,34081792,USD,8.99,3,3,3.5,3.5,1.2.0,4+,Games,37,5,2,1
10162,1151195880,Soccer 17,131052544,USD,2.99,29,29,1.5,1.5,1.1.0,4+,Games,40,5,1,1
10204,1152933871,NZ vs Loons,189247488,USD,1.99,0,0,0.0,0.0,1.30,4+,Games,37,5,1,1
10205,1152938994,武神战纪OL-热血三国志国战手游,705442816,USD,0.99,0,0,0.0,0.0,1.5.8,12+,Games,38,5,1,1
10209,1153028211,Demon's Rise 2: Lords of Chaos,2205314048,USD,7.99,39,11,4.5,4.0,1.31,12+,Games,37,5,1,1
10212,1153232514,"剑雨奇缘-万人同屏PK,唯美风仙侠",174546944,USD,0.99,0,0,0.0,0.0,1.2.0,9+,Games,40,5,1,1
10223,1153694100,Vulture Island,7023616,USD,2.99,29,0,3.5,0.0,1.02,12+,Games,37,5,1,1
10256,1155034875,Civil War: 1865,209495040,USD,1.99,14,7,4.0,4.5,1.2,12+,Games,38,5,1,1
10257,1155038987,Table Speed,26798080,USD,2.99,0,0,0.0,0.0,1.1.0,4+,Games,40,4,1,1
10264,1155899847,古墓仙缘-古装恋爱修仙手游,209277952,USD,0.99,0,0,0.0,0.0,1.2,9+,Games,38,5,1,1
10274,1156120307,Construction Simulator PRO 2017,356862976,USD,4.99,166,18,2.5,3.0,1.9,4+,Games,38,5,1,1
10280,1156258040,The Walking Dead: A New Frontier,993859584,USD,4.99,721,443,4.0,4.0,1.1,17+,Games,25,5,1,1
10320,1157626465,Smashing The Battle,292851712,USD,4.99,30,12,4.5,4.5,1.03,12+,Games,37,5,5,1
10358,1159290179,Vector 2 Premium,275088384,USD,1.99,99,85,4.0,4.0,1.0.6,9+,Games,37,5,1,1
10391,1160495350,Hidden Expedition: The Fountain of Youth (Full),902515712,USD,6.99,65,9,4.0,4.0,1.0.2,9+,Games,37,5,5,1
10392,1160574357,青空発掘カンパニー,181370880,USD,3.99,1,1,3.0,3.0,1.00,4+,Games,38,5,1,1
10402,1160731868,Little Briar Rose,279456768,USD,2.99,7,1,3.0,1.0,1.5,4+,Games,38,5,2,1
10409,1161122860,The Lost Shield,130360320,USD,1.99,27,14,3.5,4.0,1.0.2,4+,Games,40,5,4,1
10416,1161267000,Beams.,100624384,USD,0.99,25,25,4.5,4.5,1.0,4+,Games,38,5,11,1
10420,1161444237,Elf Pets® Pup — The Elf on the Shelf®,469178368,USD,0.99,10,3,4.5,5.0,1.0.3,4+,Games,40,5,1,1
10445,1162783385,Cannonfire Concerto,25586688,USD,3.99,19,19,5.0,5.0,1.0.0,12+,Games,38,5,1,1
10446,1162794046,Empyrean,42916864,USD,5.99,29,11,4.5,4.5,1.0.1,12+,Games,38,5,1,1
10447,1162838832,Saga of the North Wind,40674304,USD,5.99,36,1,4.5,5.0,1.1.0,12+,Games,38,5,1,1
10453,1163313156,VERSUS: The Elite Trials,29697024,USD,3.99,62,62,4.5,4.5,1.0.0,12+,Games,38,5,1,1
10469,1163684161,RETSNOM,283760640,USD,0.99,2,2,5.0,5.0,1.01,9+,Games,37,5,3,1
10480,1163984902,妖萌战姬HD - 日系二次元萌娘卡牌手游,211287040,USD,0.99,0,0,0.0,0.0,1.0.4,17+,Games,40,5,1,1
10489,1164147984,unWorded,350912512,USD,3.99,10,10,4.0,4.0,1.0,9+,Games,40,5,1,1
10509,1164492728,LVL,94370816,USD,1.99,284,2,4.5,5.0,1.1.4,4+,Games,38,5,11,1
