,size_mb,price,rating_count_tot,user_rating,prime_genre,sup_devices.num,lang.num,free_vs_paid,min_profit
664,130.34,0.0,2340,4.0,Entertainment,24,2,free,0.0
665,42.06,0.0,823,4.5,Entertainment,37,3,free,0.0
666,24.42,1.99,261,4.0,Sports,37,1,paid,519.39
667,7.78,1.99,0,0.0,News,38,1,paid,0.0
668,236.04,0.99,29739,4.5,Games,43,1,paid,29441.61
669,119.84,0.0,0,0.0,Navigation,37,1,free,0.0
670,21.82,4.99,1359,3.0,Weather,38,1,paid,6781.41
671,200.79,6.99,6001,4.5,Productivity,37,16,paid,41946.99
672,58.33,0.0,10,3.0,Food & Drink,38,1,free,0.0
673,83.54,0.0,4188,4.5,Education,37,1,free,0.0
674,149.2,0.0,89,4.0,Lifestyle,37,3,free,0.0
675,5.53,1.99,513,4.0,Photo & Video,38,1,paid,1020.87
676,9.64,0.0,1329,3.0,Finance,37,2,free,0.0
677,231.38,0.0,361,3.5,Shopping,38,2,free,0.0
678,76.0,0.0,3768,4.0,Entertainment,24,1,free,0.0
679,174.16,0.0,34584,4.5,Social Networking,38,21,free,0.0
680,147.39,0.0,745,3.5,Music,37,3,free,0.0
681,62.26,0.0,26786,3.5,Reference,37,59,free,0.0
682,46.08,3.99,1911,4.0,News,37,1,paid,7624.89
683,101.5,1.99,1393,4.5,Games,40,16,paid,2772.07
684,21.47,2.99,430,4.5,Games,43,1,paid,1285.7
685,17.51,1.99,193,4.5,Games,38,1,paid,384.07
686,6.77,0.99,7,4.5,Utilities,37,2,paid,6.93
687,102.22,0.0,84,4.5,Lifestyle,37,2,free,0.0
688,52.28,0.0,116,4.0,Lifestyle,24,1,free,0.0
689,62.46,2.99,4352,4.5,Photo & Video,37,8,paid,13012.480000000001
690,143.81,0.0,126948,4.5,Utilities,37,2,free,0.0
691,135.52,0.0,6478,5.0,Photo & Video,37,5,free,0.0
692,74.93,0.0,31116,4.0,Entertainment,24,13,free,0.0
